"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Itarana (ES)","ES","25","10.649","234,8"
"Coronel Freitas (SC)","SC","23","9.804","234,6"
"Rio do Oeste (SC)","SC","16","6.826","234,4"
"Riqueza (SC)","SC","11","4.695","234,3"
"Muqui (ES)","ES","33","14.092","234,2"
"Conceição do Mato Dentro (MG)","MG","41","17.513","234,1"
"Rio Pomba (MG)","MG","39","16.664","234,0"
"Iporã do Oeste (SC)","SC","19","8.122","233,9"
"Fagundes (PB)","PB","26","11.116","233,9"
"Ouro Verde do Oeste (PR)","PR","13","5.562","233,7"
"Colinas do Sul (GO)","GO","8","3.425","233,6"
"Ribeirão (PE)","PE","103","44.102","233,5"
"Salmourão (SP)","SP","11","4.710","233,5"
"Sampaio (TO)","TO","9","3.862","233,0"
"Ortigueira (PR)","PR","53","22.753","232,9"
"Jardinópolis (SC)","SC","4","1.718","232,8"
"Carangola (MG)","MG","73","31.369","232,7"
"São João de Iracema (SP)","SP","4","1.724","232,0"
"Abadia dos Dourados (MG)","MG","15","6.466","232,0"
"Prados (MG)","MG","19","8.211","231,4"
"Paramirim (BA)","BA","46","19.951","230,6"
"Além Paraíba (MG)","MG","77","33.448","230,2"
"Serafina Corrêa (RS)","RS","32","13.901","230,2"
"Salgado de São Félix (PB)","PB","27","11.730","230,2"
"Porto Vera Cruz (RS)","RS","4","1.739","230,0"
"Jacutinga (RS)","RS","8","3.486","229,5"
"Witmarsum (SC)","SC","8","3.489","229,3"
"Iguatu (PR)","PR","5","2.181","229,3"
"São Félix do Araguaia (MT)","MT","24","10.470","229,2"
"Alvorada de Minas (MG)","MG","8","3.494","229,0"
"Fronteiras (PI)","PI","25","10.919","229,0"
"Uauá (BA)","BA","56","24.503","228,5"
"Axixá do Tocantins (TO)","TO","21","9.193","228,4"
"Santa Mônica (PR)","PR","8","3.503","228,4"
"Quinze de Novembro (RS)","RS","8","3.505","228,2"
"Ubiretama (RS)","RS","5","2.192","228,1"
"Boqueirão do Leão (RS)","RS","17","7.455","228,0"
"Jateí (MS)","MS","9","3.947","228,0"
"Goianésia do Pará (PA)","PA","77","33.779","228,0"
"Oratórios (MG)","MG","10","4.395","227,5"
"Venturosa (PE)","PE","37","16.265","227,5"
"Fátima do Sul (MS)","MS","42","18.474","227,3"
"Matões (MA)","MA","71","31.276","227,0"
"Juranda (PR)","PR","17","7.493","226,9"
"Parapuã (SP)","SP","24","10.579","226,9"
"Monte Azul Paulista (SP)","SP","42","18.518","226,8"
"Pesqueira (PE)","PE","141","62.182","226,8"
"João Neiva (ES)","ES","35","15.454","226,5"
"Cacequi (RS)","RS","30","13.259","226,3"
"Tabapuã (SP)","SP","25","11.069","225,9"
"Eugenópolis (MG)","MG","23","10.190","225,7"
"Perdões (MG)","MG","44","19.498","225,7"
"Mutuípe (BA)","BA","47","20.868","225,2"
"Boquira (BA)","BA","47","20.873","225,2"
"Angatuba (SP)","SP","49","21.765","225,1"
"Irupi (ES)","ES","26","11.553","225,0"
"Ipê (RS)","RS","13","5.786","224,7"
"Aurelino Leal (BA)","BA","30","13.356","224,6"
"Itararé (SP)","SP","106","47.237","224,4"
"Colorado do Oeste (RO)","RO","41","18.281","224,3"
"Pratápolis (MG)","MG","19","8.487","223,9"
"Pimenta Bueno (RO)","RO","75","33.534","223,7"
"Quatis (RJ)","RJ","28","12.534","223,4"
"Laguna (SC)","SC","91","40.757","223,3"
"Bom Jesus do Itabapoana (RJ)","RJ","77","34.501","223,2"
"Iacri (SP)","SP","14","6.277","223,0"
"Sobradinho (RS)","RS","31","13.901","223,0"
"Prudentópolis (PR)","PR","106","47.534","223,0"
"Santa Inês (PR)","PR","4","1.794","223,0"
"Tapes (RS)","RS","36","16.162","222,7"
"Benedito Leite (MA)","MA","12","5.393","222,5"
"Luzerna (SC)","SC","12","5.393","222,5"
"Caculé (BA)","BA","47","21.131","222,4"
"Gurinhatã (MG)","MG","13","5.849","222,3"
"Correia Pinto (SC)","SC","32","14.399","222,2"
"Porteiras (CE)","CE","33","14.854","222,2"
"Major Gercino (SC)","SC","7","3.156","221,8"
"São Sebastião da Vargem Alegre (MG)","MG","6","2.707","221,6"
"Vieiras (MG)","MG","8","3.611","221,5"
"Cambuquira (MG)","MG","27","12.188","221,5"
"Chã Grande (PE)","PE","44","19.868","221,5"
"Água Doce (SC)","SC","15","6.792","220,8"
"São Luiz Gonzaga (RS)","RS","74","33.510","220,8"
"Governador Luiz Rocha (MA)","MA","16","7.248","220,8"
"Ouro Verde de Minas (MG)","MG","13","5.903","220,2"
"Itapuca (RS)","RS","5","2.271","220,2"
"São Sebastião da Grama (SP)","SP","26","11.818","220,0"
"Serra Talhada (PE)","PE","173","78.692","219,8"
"Vianópolis (GO)","GO","27","12.308","219,4"
"Segredo (RS)","RS","15","6.857","218,8"
"Escada (PE)","PE","138","63.160","218,5"
"Sem-Peixe (MG)","MG","6","2.747","218,4"
"Mar de Espanha (MG)","MG","25","11.450","218,3"
"Bom Jesus da Serra (BA)","BA","22","10.082","218,2"
"Coelho Neto (MA)","MA","101","46.300","218,1"
"Guarani das Missões (RS)","RS","17","7.797","218,0"
"Rubinéia (SP)","SP","6","2.752","218,0"
"São Nicolau (RS)","RS","12","5.506","217,9"
"Ji-Paraná (RO)","RO","252","115.641","217,9"
"Bernardino de Campos (SP)","SP","23","10.555","217,9"
"Carvalhópolis (MG)","MG","7","3.217","217,6"
"Lagoa Dourada (MG)","MG","26","11.964","217,3"
"Poconé (MT)","MT","68","31.296","217,3"
"Itauçu (GO)","GO","18","8.291","217,1"
"Viadutos (RS)","RS","11","5.074","216,8"
"Terra Nova (PE)","PE","19","8.769","216,7"
"Igrejinha (RS)","RS","68","31.388","216,6"
"Congo (PB)","PB","10","4.624","216,3"
"Bonfinópolis (GO)","GO","16","7.400","216,2"
"Ipaporanga (CE)","CE","24","11.106","216,1"
"Iguaracy (PE)","PE","25","11.572","216,0"
"União da Serra (RS)","RS","3","1.391","215,7"
"Brasília de Minas (MG)","MG","66","30.620","215,5"
"Uruana (GO)","GO","29","13.457","215,5"
"Queiroz (SP)","SP","6","2.785","215,4"
"Rosário do Sul (RS)","RS","83","38.533","215,4"
"Toropi (RS)","RS","6","2.787","215,3"
"São José do Norte (RS)","RS","53","24.624","215,2"
"Campos Novos (SC)","SC","69","32.078","215,1"
"Faria Lemos (MG)","MG","7","3.263","214,5"
"Iepê (SP)","SP","16","7.467","214,3"
"Macuco (RJ)","RJ","11","5.135","214,2"
"Capitão de Campos (PI)","PI","23","10.743","214,1"
"Ipu (CE)","CE","85","39.705","214,1"
"Martinópolis (SP)","SP","51","23.823","214,1"
"Paraí (RS)","RS","14","6.550","213,7"
"Paulo de Faria (SP)","SP","18","8.429","213,5"
"Iaçu (BA)","BA","54","25.298","213,5"
"Buritinópolis (GO)","GO","7","3.280","213,4"
"Lindolfo Collor (RS)","RS","11","5.155","213,4"
"Uruará (PA)","PA","95","44.571","213,1"
"Mirante da Serra (RO)","RO","25","11.735","213,0"
"Matipó (MG)","MG","37","17.387","212,8"
"São José do Cerrito (SC)","SC","19","8.932","212,7"
"Nova Granada (SP)","SP","40","18.806","212,7"
"Arapoti (PR)","PR","54","25.426","212,4"
"Tomazina (PR)","PR","18","8.478","212,3"
"Ituberá (BA)","BA","56","26.388","212,2"
"Mendes Pimentel (MG)","MG","13","6.133","212,0"
"Silveiras (SP)","SP","12","5.664","211,9"
"Barras (PI)","PI","94","44.393","211,7"
"Pilar (AL)","AL","70","33.074","211,6"
"Cruzeiro (SP)","SP","160","75.685","211,4"
"Ecoporanga (ES)","ES","48","22.765","210,8"
"Cândido Sales (BA)","BA","54","25.619","210,8"
"Altamira (PA)","PA","208","98.710","210,7"
"Tabira (PE)","PE","55","26.114","210,6"
"Chapada (RS)","RS","19","9.030","210,4"
"Novo Barreiro (RS)","RS","8","3.803","210,4"
"Nova Canaã (BA)","BA","33","15.693","210,3"
"Bugre (MG)","MG","8","3.805","210,2"
"Frei Martinho (PB)","PB","6","2.854","210,2"
"Araripe (CE)","CE","43","20.454","210,2"
"Ponte Alta (SC)","SC","10","4.757","210,2"
"Trombas (GO)","GO","7","3.330","210,2"
"Porecatu (PR)","PR","29","13.802","210,1"
"Palmares do Sul (RS)","RS","22","10.477","210,0"
"Jaboti (PR)","PR","10","4.765","209,9"
"Esperança Nova (PR)","PR","4","1.907","209,8"
"Santa Cruz da Esperança (SP)","SP","4","1.908","209,6"
"Anadia (AL)","AL","36","17.177","209,6"
"Pompéia (SP)","SP","41","19.564","209,6"
"Ouro Velho (PB)","PB","6","2.865","209,4"
"Mundo Novo (GO)","GO","13","6.208","209,4"
"Presidente Lucena (RS)","RS","5","2.390","209,2"
"Palmeira das Missões (RS)","RS","70","33.469","209,1"
"Cuité (PB)","PB","41","19.629","208,9"
"Gramado (RS)","RS","66","31.619","208,7"
"Ipiranga (PR)","PR","29","13.919","208,3"
"Pilar do Sul (SP)","SP","54","25.959","208,0"
"Guaraqueçaba (PR)","PR","16","7.707","207,6"
"Silvianópolis (MG)","MG","12","5.783","207,5"
"Floresta (PR)","PR","12","5.784","207,5"
"Muitos Capões (RS)","RS","6","2.893","207,4"
"Carnaíba (PE)","PE","38","18.328","207,3"
"Novo Horizonte do Sul (MS)","MS","10","4.824","207,3"
"Realeza (PR)","PR","33","15.922","207,3"
"Muzambinho (MG)","MG","41","19.807","207,0"
"Rolim de Moura (RO)","RO","104","50.255","206,9"
"Coribe (BA)","BA","29","14.019","206,9"
"Carmo da Mata (MG)","MG","22","10.642","206,7"
"Bom Jardim de Minas (MG)","MG","13","6.289","206,7"
"Floresta do Piauí (PI)","PI","5","2.419","206,7"
"Guaraçaí (SP)","SP","17","8.229","206,6"
"Estrela do Indaiá (MG)","MG","7","3.393","206,3"
"Conceição do Rio Verde (MG)","MG","26","12.616","206,1"
"Colorado (RS)","RS","7","3.406","205,5"
"Assis Chateaubriand (PR)","PR","66","32.137","205,4"
"Coração de Maria (BA)","BA","47","22.910","205,2"
"América Dourada (BA)","BA","32","15.613","205,0"
"Urupá (RO)","RO","26","12.703","204,7"
"Independência (RS)","RS","13","6.356","204,5"
"Vilhena (RO)","RO","155","75.818","204,4"
"São Miguel do Fidalgo (PI)","PI","6","2.940","204,1"
"Novo Horizonte (SP)","SP","73","35.772","204,1"
"Colônia do Piauí (PI)","PI","15","7.353","204,0"
"Palmital (SP)","SP","42","20.608","203,8"
"Adamantina (SP)","SP","67","32.924","203,5"
"Paranaiguara (GO)","GO","18","8.847","203,5"
"Morro Redondo (RS)","RS","12","5.899","203,4"
"Alto Rio Doce (MG)","MG","24","11.802","203,4"
"Rio Pardo (RS)","RS","74","36.393","203,3"
"Itamarati de Minas (MG)","MG","8","3.937","203,2"
"Serra Negra (SP)","SP","52","25.639","202,8"
"Colinas do Tocantins (TO)","TO","62","30.582","202,7"
"São José do Vale do Rio Preto (RJ)","RJ","40","19.734","202,7"
"Anhanguera (GO)","GO","2","987","202,6"
"Veredinha (MG)","MG","11","5.433","202,5"
"Piquerobi (SP)","SP","7","3.462","202,2"
"Arcos (MG)","MG","72","35.618","202,1"
"Mineiros (GO)","GO","105","51.994","201,9"
"Pranchita (PR)","PR","11","5.449","201,9"
"Goianápolis (GO)","GO","22","10.910","201,6"
"Barra do Mendes (BA)","BA","26","12.906","201,5"
"Capão do Cipó (RS)","RS","6","2.981","201,3"
"Bacuri (MA)","MA","35","17.411","201,0"
"Brejo Santo (CE)","CE","90","44.775","201,0"
"Miranorte (TO)","TO","25","12.440","201,0"
"Aracatu (BA)","BA","27","13.456","200,7"
"Estrela d'Oeste (SP)","SP","16","7.981","200,5"
"Jussara (PR)","PR","13","6.485","200,5"
"Conchas (SP)","SP","32","15.971","200,4"
"São Pedro do Piauí (PI)","PI","27","13.515","199,8"
"Dom Feliciano (RS)","RS","28","14.030","199,6"
"Monte Santo de Minas (MG)","MG","41","20.555","199,5"
"Itaúna do Sul (PR)","PR","7","3.512","199,3"
"Ubá (MG)","MG","198","99.356","199,3"
"Santa Rita do Itueto (MG)","MG","11","5.520","199,3"
"Presidente Tancredo Neves (BA)","BA","48","24.091","199,2"
"Turvo (SC)","SC","23","11.546","199,2"
"Santo Anastácio (SP)","SP","40","20.083","199,2"
"São Manuel (SP)","SP","75","37.695","199,0"
"Ipiaú (BA)","BA","87","43.738","198,9"
"Guaratuba (PR)","PR","62","31.213","198,6"
"Arataca (BA)","BA","22","11.097","198,3"
"Guairaçá (PR)","PR","12","6.057","198,1"
"Vila Nova do Sul (RS)","RS","8","4.038","198,1"
"Encruzilhada do Sul (RS)","RS","47","23.734","198,0"
"Santana (BA)","BA","49","24.745","198,0"
"Cambará (PR)","PR","46","23.263","197,7"
"Murutinga do Sul (SP)","SP","8","4.049","197,6"
"Sanharó (PE)","PE","43","21.774","197,5"
"Doutor Maurício Cardoso (RS)","RS","10","5.065","197,4"
"Capitão (RS)","RS","5","2.534","197,3"
"São Paulo das Missões (RS)","RS","12","6.082","197,3"
"Santa Bárbara (BA)","BA","38","19.263","197,3"
"Jucás (CE)","CE","46","23.349","197,0"
"Novais (SP)","SP","9","4.570","196,9"
"Cuparaque (MG)","MG","9","4.572","196,9"
"Conchal (SP)","SP","49","24.902","196,8"
"Ubatã (BA)","BA","47","23.890","196,7"
"Érico Cardoso (BA)","BA","21","10.678","196,7"
"Inúbia Paulista (SP)","SP","7","3.560","196,6"
"Firminópolis (GO)","GO","22","11.191","196,6"
"Sertaneja (PR)","PR","11","5.599","196,5"
"Marapoama (SP)","SP","5","2.548","196,2"
"São Vicente do Sul (RS)","RS","16","8.156","196,2"
"Nova Palma (RS)","RS","12","6.120","196,1"
"Cedro (PE)","PE","21","10.714","196,0"
"Elesbão Veloso (PI)","PI","28","14.298","195,8"
"Flor da Serra do Sul (PR)","PR","9","4.600","195,7"
"Santo Antônio do Amparo (MG)","MG","33","16.892","195,4"
"Piratuba (SC)","SC","9","4.607","195,4"
"Canudos (BA)","BA","30","15.366","195,2"
"Crato (CE)","CE","234","119.985","195,0"
"Boa Vista das Missões (RS)","RS","4","2.053","194,8"
"Boa Vista da Aparecida (PR)","PR","15","7.702","194,8"
"Água Santa (RS)","RS","7","3.597","194,6"
"Santa Rita do Passa Quatro (SP)","SP","50","25.700","194,6"
"Palmitinho (RS)","RS","13","6.688","194,4"
"Solidão (PE)","PE","11","5.660","194,3"
"Laranjal Paulista (SP)","SP","48","24.717","194,2"
"Esperança (PB)","PB","59","30.408","194,0"
"Itainópolis (PI)","PI","21","10.824","194,0"
"Tapira (PR)","PR","11","5.670","194,0"
"Promissão (SP)","SP","68","35.058","194,0"
"Carmo de Minas (MG)","MG","26","13.431","193,6"
"Paverama (RS)","RS","15","7.749","193,6"
"Ipaussu (SP)","SP","26","13.434","193,5"
"Campos Gerais (MG)","MG","52","26.870","193,5"
"Barro Preto (BA)","BA","13","6.721","193,4"
"Vicência (PE)","PE","59","30.538","193,2"
"Liberdade (MG)","MG","10","5.181","193,0"
"Divino (MG)","MG","36","18.654","193,0"
"Campina Verde (MG)","MG","36","18.656","193,0"
"Iraí (RS)","RS","15","7.776","192,9"
"Garruchos (RS)","RS","6","3.112","192,8"
"Campestre da Serra (RS)","RS","6","3.114","192,7"
"Galiléia (MG)","MG","13","6.751","192,6"
"Caaporã (PB)","PB","39","20.253","192,6"
"São Carlos do Ivaí (PR)","PR","12","6.233","192,5"
"Três Coroas (RS)","RS","45","23.377","192,5"
"Marechal Cândido Rondon (PR)","PR","88","45.729","192,4"
"Santa Rosa do Sul (SC)","SC","15","7.797","192,4"
"Pains (MG)","MG","15","7.799","192,3"
"Baixo Guandu (ES)","ES","55","28.608","192,3"
"Alagoa (MG)","MG","5","2.601","192,2"
"Taquarituba (SP)","SP","42","21.858","192,1"
"Flores (PE)","PE","42","21.873","192,0"
"Joaquim Felício (MG)","MG","8","4.167","192,0"
"Lagoa de Dentro (PB)","PB","14","7.293","192,0"
"Jaraguá (GO)","GO","79","41.197","191,8"
"São Carlos (SC)","SC","19","9.910","191,7"
"Barra do Piraí (RJ)","RJ","177","92.371","191,6"
"Sombrio (SC)","SC","50","26.106","191,5"
"Pirapó (RS)","RS","5","2.611","191,5"
"Horizontina (RS)","RS","34","17.760","191,4"
"Tocantinópolis (TO)","TO","43","22.470","191,4"
"Inhangapi (PA)","PA","19","9.977","190,4"
"Itanhém (BA)","BA","37","19.438","190,3"
"Miracema do Tocantins (TO)","TO","39","20.502","190,2"
"Ivaté (PR)","PR","14","7.364","190,1"
"Ubiratã (PR)","PR","40","21.066","189,9"
"Santa Cecília do Sul (RS)","RS","3","1.580","189,9"
"Bananal (SP)","SP","19","10.009","189,8"
"São Gonçalo do Sapucaí (MG)","MG","44","23.219","189,5"
"Corumbá (MS)","MS","193","102.072","189,1"
"Solânea (PB)","PB","51","26.973","189,1"
"Taguatinga (TO)","TO","28","14.819","188,9"
"Pacoti (CE)","CE","22","11.646","188,9"
"Aceguá (RS)","RS","8","4.238","188,8"
"Nova Santa Rosa (PR)","PR","14","7.420","188,7"
"Nazaré (BA)","BA","51","27.032","188,7"
"Quarto Centenário (PR)","PR","9","4.771","188,6"
"Caracol (MS)","MS","10","5.303","188,6"
"Crixás (GO)","GO","29","15.395","188,4"
"Caibaté (RS)","RS","9","4.779","188,3"
"Tijucas (SC)","SC","57","30.267","188,3"
"Nova Soure (BA)","BA","48","25.505","188,2"
"Abaré (BA)","BA","32","17.014","188,1"
"Capão Alto (SC)","SC","5","2.659","188,0"
"São Domingos (BA)","BA","16","8.511","188,0"
"Conceição de Macabu (RJ)","RJ","39","20.748","188,0"
"Pantano Grande (RS)","RS","18","9.581","187,9"
"Nova Prata do Iguaçu (PR)","PR","19","10.129","187,6"
"Dores do Indaiá (MG)","MG","25","13.330","187,5"
"Vassouras (RJ)","RJ","63","33.628","187,3"
"Chopinzinho (PR)","PR","36","19.220","187,3"
"Não-Me-Toque (RS)","RS","29","15.486","187,3"
"Ibirubá (RS)","RS","35","18.699","187,2"
"Serra Redonda (PB)","PB","13","6.952","187,0"
"Presidente Médici (RO)","RO","41","21.945","186,8"
"Conceição do Araguaia (PA)","PA","84","45.012","186,6"
"Paraíba do Sul (RJ)","RJ","75","40.264","186,3"
"Paulistas (MG)","MG","9","4.833","186,2"
"Chiador (MG)","MG","5","2.686","186,2"
"Diamante do Norte (PR)","PR","10","5.373","186,1"
"Aparecida d'Oeste (SP)","SP","8","4.301","186,0"
"Santo Antônio do Descoberto (GO)","GO","117","62.905","186,0"
"Macaparana (PE)","PE","44","23.664","185,9"
"Senador Canedo (GO)","GO","156","83.946","185,8"
"Barra de Santana (PB)","PB","15","8.077","185,7"
"São Roque de Minas (MG)","MG","12","6.464","185,6"
"São Caitano (PE)","PE","65","35.017","185,6"
"Pires do Rio (GO)","GO","52","28.018","185,6"
"Baixio (CE)","CE","11","5.929","185,5"
"Itiquira (MT)","MT","21","11.320","185,5"
"Novo Oriente (CE)","CE","50","26.955","185,5"
"União de Minas (MG)","MG","8","4.316","185,4"
"Sinimbu (RS)","RS","18","9.712","185,3"
"Ibitiara (BA)","BA","28","15.114","185,3"
"Ponte Alta do Norte (SC)","SC","6","3.240","185,2"
"Palma Sola (SC)","SC","14","7.561","185,2"
"Nova União (MG)","MG","10","5.403","185,1"
"Itaguatins (TO)","TO","11","5.948","184,9"
"Sertãozinho (PB)","PB","8","4.326","184,9"
"Ataléia (MG)","MG","26","14.063","184,9"
"Cristiano Otoni (MG)","MG","9","4.870","184,8"
"Sambaíba (MA)","MA","10","5.413","184,7"
"Chapadão do Lageado (SC)","SC","5","2.708","184,6"
"Ananás (TO)","TO","18","9.761","184,4"
"Praia Norte (TO)","TO","14","7.594","184,4"
"Santa Filomena do Maranhão (MA)","MA","13","7.052","184,3"
"Pinheirinho do Vale (RS)","RS","8","4.340","184,3"
"Gouveia (MG)","MG","21","11.393","184,3"
"Guaporé (RS)","RS","41","22.248","184,3"
"Olindina (BA)","BA","49","26.592","184,3"
"Jacaraci (BA)","BA","26","14.117","184,2"
"Cesário Lange (SP)","SP","28","15.210","184,1"
"Araçaí (MG)","MG","4","2.173","184,1"
"Alexânia (GO)","GO","43","23.361","184,1"
"Lucianópolis (SP)","SP","4","2.176","183,8"
"Rio do Campo (SC)","SC","11","5.986","183,8"
"Areia (PB)","PB","43","23.423","183,6"
"Santana do Matos (RN)","RN","24","13.076","183,5"
"Ibertioga (MG)","MG","9","4.906","183,4"
"Vacaria (RS)","RS","110","59.992","183,4"
"Terra Nova do Norte (MT)","MT","20","10.908","183,4"
"Saudade do Iguaçu (PR)","PR","9","4.914","183,2"
"Rancho Alegre (PR)","PR","7","3.823","183,1"
"Tarabai (SP)","SP","12","6.556","183,0"
"Cruzília (MG)","MG","26","14.205","183,0"
"Jacarezinho (PR)","PR","70","38.268","182,9"
"Poço Fundo (MG)","MG","28","15.330","182,6"
"Pedreiras (MA)","MA","70","38.391","182,3"
"Santo Expedito (SP)","SP","5","2.744","182,2"
"Álvares Machado (SP)","SP","42","23.051","182,2"
"Laranjeiras do Sul (PR)","PR","55","30.210","182,1"
"Arraias (TO)","TO","19","10.447","181,9"
"Ibitirama (ES)","ES","16","8.802","181,8"
"Arroio dos Ratos (RS)","RS","24","13.206","181,7"
"Tigrinhos (SC)","SC","3","1.654","181,4"
"Astolfo Dutra (MG)","MG","23","12.697","181,1"
"Barão de Monte Alto (MG)","MG","10","5.521","181,1"
"Itaquiraí (MS)","MS","33","18.236","181,0"
"Osório (RS)","RS","72","39.789","181,0"
"Salto do Itararé (PR)","PR","9","4.977","180,8"
"Cordislândia (MG)","MG","6","3.319","180,8"
"Lagoão (RS)","RS","11","6.085","180,8"
"Redenção do Gurguéia (PI)","PI","15","8.309","180,5"
"Nova Resende (MG)","MG","27","14.963","180,4"
"Alecrim (RS)","RS","12","6.663","180,1"
"Fortaleza dos Valos (RS)","RS","8","4.442","180,1"
"Valença (BA)","BA","157","87.194","180,1"
"Alvorada do Gurguéia (PI)","PI","9","4.999","180,0"
"Filadélfia (BA)","BA","29","16.110","180,0"
"Pedralva (MG)","MG","20","11.112","180,0"
"Nova Cantu (PR)","PR","13","7.225","179,9"
"Uruaçu (GO)","GO","65","36.140","179,9"
"Mirassol d'Oeste (MT)","MT","45","25.037","179,7"
"São Francisco do Maranhão (MA)","MA","21","11.690","179,6"
"Natércia (MG)","MG","8","4.455","179,6"
"Campanha (MG)","MG","27","15.039","179,5"
"Canavieiras (BA)","BA","57","31.750","179,5"
"Normandia (RR)","RR","16","8.919","179,4"
"Bom Jesus (RS)","RS","20","11.151","179,4"
"Antonina (PR)","PR","33","18.400","179,3"
"Cruz Alta (RS)","RS","110","61.393","179,2"
"Lagoa Seca (PB)","PB","46","25.685","179,1"
"Trindade do Sul (RS)","RS","10","5.588","179,0"
"Novo Xingu (RS)","RS","3","1.677","178,9"
"Santa Mercedes (SP)","SP","5","2.796","178,8"
"Arroio do Tigre (RS)","RS","22","12.306","178,8"
"Pacujá (CE)","CE","11","6.154","178,7"
"Pedrinópolis (MG)","MG","6","3.357","178,7"
"Novo Horizonte do Oeste (RO)","RO","18","10.077","178,6"
"Corumbá de Goiás (GO)","GO","18","10.082","178,5"
"Botuporã (BA)","BA","19","10.650","178,4"
"São Francisco de Assis (RS)","RS","33","18.498","178,4"
"Guia Lopes da Laguna (MS)","MS","18","10.091","178,4"
"Comodoro (MT)","MT","32","17.942","178,4"
"Sud Mennucci (SP)","SP","13","7.292","178,3"
"Conceição da Aparecida (MG)","MG","17","9.542","178,2"
"Governador Nunes Freire (MA)","MA","45","25.285","178,0"
"David Canabarro (RS)","RS","8","4.496","177,9"
"Bonito de Santa Fé (PB)","PB","19","10.685","177,8"
"Ibiaçá (RS)","RS","8","4.501","177,7"
"Goiandira (GO)","GO","9","5.064","177,7"
"Loanda (PR)","PR","37","20.819","177,7"
"Antônio Prado (RS)","RS","22","12.383","177,7"
"Sucupira (TO)","TO","3","1.689","177,6"
"Penedo (AL)","AL","107","60.280","177,5"
"São João da Ponte (MG)","MG","44","24.804","177,4"
"Minas Novas (MG)","MG","54","30.461","177,3"
"Silva Jardim (RJ)","RJ","37","20.876","177,2"
